"","playerID","name","IP","ER","ERA","K","ebWAR","efWAR"
"1600","tibbsja01","Jay Tibbs",880,378,3.87,478,6.21,9.62
"1601","politcl01","Cliff Politte",468,179,3.44,364,6.2,3.77
"1602","rapppa01","Pat Rapp",1511,703,4.19,691,6.2,7.35
"1603","rusinch01","Chris Rusin",642,246,3.45,389,6.19,7.21
"1604","cosarja01","Jarred Cosart",510,203,3.58,275,6.18,5.25
"1605","borowjo01","Joe Borowski",589,225,3.44,526,6.16,6.05
"1606","brisslo01","Lou Brissie",790,364,4.15,562,6.16,8.77
"1607","flexech01","Chris Flexen",439,173,3.55,195,6.16,5.12
"1608","wrighja02","Jaret Wright",1095,511,4.2,703,6.16,11.19
"1609","leonadu01","Dutch Leonard",1735,880,4.56,1267,6.16,18
"1610","jonesbo03","Bobby Jones",1236,500,3.64,561,6.14,12.5
"1611","rogerty01","Tyler Rogers",382,131,3.09,210,6.14,4.99
"1612","foggjo01","Josh Fogg",1301,581,4.02,634,6.13,9.93
"1613","andrima01","Matt Andriese",807,340,3.79,520,6.12,8.18
"1614","rasmudr01","Drew Rasmussen",375,130,3.12,228,6.12,5.86
"1615","stangle01","Lee Stange",1165,514,3.97,583,6.12,8.31
"1616","outmajo01","Josh Outman",391,147,3.38,288,6.11,5.18
"1617","paddach01","Chris Paddack",598,243,3.66,388,6.11,8.09
"1618","sampsad01","Adrian Sampson",424,166,3.52,241,6.11,3.78
"1619","foxho01","Howie Fox",873,399,4.11,398,6.1,8.87
"1620","greento01","Tommy Greene",639,265,3.73,456,6.1,7.67
"1621","leedo01","Don Lee",623,260,3.76,274,6.09,4.72
"1622","willifr01","Frank Williams",494,166,3.02,329,6.09,3.32
"1623","wrighwe01","Wesley Wright",433,162,3.37,371,6.09,4.3
"1624","timmeto01","Tom Timmermann",534,219,3.69,325,6.07,5.36
"1625","jepseke01","Kevin Jepsen",580,214,3.32,450,6.06,6.5
"1626","chacigu01","Gustavo Chacin",440,165,3.38,283,6.06,5.15
"1627","acostcy01","Cy Acosta",182,52,2.57,134,6.05,0.56
"1628","dopsojo01","John Dopson",697,299,3.86,404,6.04,6.3
"1629","rossga01","Gary Ross",690,307,4,441,6.03,3.96
"1630","comerst01","Steve Comer",600,234,3.51,313,6.02,5.49
"1631","mcmurcr01","Craig McMurtry",454,170,3.37,265,6.02,4.51
"1632","tayloro01","Ron Taylor",762,326,3.85,449,6.02,4.78
"1633","garcilu05","Luis Garcia",473,176,3.35,321,6.02,6.87
"1634","sampsch01","Chris Sampson",451,170,3.39,267,6.02,5.47
"1635","cadargr01","Greg Cadaret",778,336,3.89,571,6,3.46
"1636","duffety01","Tyler Duffey",756,301,3.58,537,6,8.13
"1637","rowlary01","Ryan Rowland Smith",473,176,3.35,306,6,5.98
"1638","housead01","Adrian Houser",724,283,3.52,395,5.98,8.35
"1639","whiteha01","Hal White",895,410,4.12,507,5.98,4.47
"1640","alexaty01","Tyler Alexander",515,214,3.74,273,5.96,4.42
"1641","maytr01","Trevor May",660,272,3.71,567,5.96,8.91
"1642","zuverge01","George Zuverink",605,253,3.76,243,5.95,-1.04
"1643","apodabo01","Bob Apodaca",341,112,2.96,215,5.94,3.16
"1644","lockeje01","Jeff Locke",812,351,3.89,482,5.93,7.58
"1645","feddeer01","Erick Fedde",773,355,4.13,413,5.93,5.98
"1646","johnsja02","Jason Johnson",1515,730,4.34,776,5.93,10.67
